64
0 4
84842.9453125 -313687.09375
127401.0625 -290514.09375
145892.65625 -324474.59375
104755.148438 -346874.09375
1 4
50737.5507812 -332257.59375
91875.0625 -309858.09375
111787.265625 -343045.09375
69229.15625 -366218.09375
2 4
106836.617188 -266791.3125
125328.21875 -300751.84375
83033.140625 -323781.625
63120.9296875 -290594.625
3 4
70153.046875 -286765.625
90065.2578125 -319952.625
46349.5859375 -343755.9375
27857.9882812 -309795.40625
4 4
50537.9257812 -262525.9375
98669.5078125 -236318.15625
117161.109375 -270278.6875
70450.125 -295712.9375
5 4
10859.0410156 -284131.1875
57570.0429688 -258696.9375
77482.2421875 -291883.9375
29350.640625 -318091.71875
6 4
-20643.7363281 -56843.3164062
-2152.13476562 -90803.828125
-45687.0703125 -114508.726562
-65599.265625 -81321.734375
7 4
-58567.1484375 -77492.7265625
-38654.953125 -110679.71875
-83610.484375 -135158.140625
-102102.085938 -101197.625
8 4
-79550.7890625 -53998.1914062
-36689.9023438 -30660.3105469
-18198.3027344 -64620.8242188
-59638.5898438 -87185.1875
9 4
-113958.945312 -72733.53125
-72518.671875 -50169.1796875
-52606.4726562 -83356.1796875
-95467.34375 -106694.054688
10 4
-54126.53125 -5234.43603516
-35634.9296875 -39194.9492188
-75667.4765625 -60992.7890625
-95579.6796875 -27805.7949219
11 4
-88547.5625 -23976.7871094
-68635.359375 -57163.7773438
-110088.515625 -79735.1484375
-128580.117188 -45774.6289062
12 4
-115518.492188 -3742.36132812
-73893.109375 18922.78125
-55401.5117188 -15037.7285156
-95606.296875 -36929.3554688
13 4
-148691.140625 -21804.9707031
-108486.375 86.6479492188
-88574.1796875 -33100.34375
-130199.546875 -55765.484375
14 4
-162916.03125 110130.25
-118475.375 134328.328125
-99983.7734375 100367.8125
-143003.84375 76943.2578125
15 4
-198903.96875 90534.703125
-155883.90625 113959.257812
-135971.71875 80772.265625
-180412.375 56574.1875
16 4
-174736.140625 138614.359375
-129436.546875 163280.109375
-110944.9375 129319.601562
-154823.9375 105427.359375
17 4
-211583.0 118551.132812
-167704.015625 142443.359375
-147791.8125 109256.367188
-193091.390625 84590.6171875
18 4
-182175.5625 169483.75
-138926.4375 193033.015625
-120434.828125 159072.5
-162263.359375 136296.75
19 4
-216971.9375 150537.0
-175143.4375 173312.765625
-155231.234375 140125.75
-198480.34375 116576.476562
20 4
-190651.265625 199788.859375
-155922.59375 218698.71875
-137431.0 184738.21875
-170739.078125 166601.875
21 4
-216927.21875 185481.53125
-183619.140625 203617.859375
-163706.953125 170430.875
-198435.625 151521.03125
22 4
-204983.65625 226905.046875
-172788.0625 244435.625
-154296.46875 210475.109375
-185071.453125 193718.046875
23 4
-228726.5 213976.984375
-197951.53125 230734.046875
-178039.328125 197547.046875
-210234.90625 180016.46875
24 4
-208906.671875 259689.109375
-174450.5 278450.59375
-155958.90625 244490.09375
-188994.484375 226502.125
25 4
-234910.125 245530.15625
-201874.546875 263518.125
-181962.359375 230331.125
-216418.53125 211569.640625
26 4
-217776.21875 289779.8125
-184818.546875 307725.34375
-166326.953125 273764.84375
-197864.03125 256592.796875
27 4
-242281.171875 276436.78125
-210744.09375 293608.8125
-190831.90625 260421.8125
-223789.578125 242476.28125
28 4
62695.8554688 -220985.75
96180.140625 -202753.46875
114671.742188 -236713.984375
82608.0390625 -254172.734375
29 4
37236.8007812 -234848.28125
69727.96875 -217156.75
89640.1640625 -250343.734375
57149.0039062 -268035.25
30 4
11777.7597656 -248710.796875
44268.9179688 -231019.28125
64181.1210938 -264206.25
31689.9511719 -281897.78125
31 4
-13253.8222656 -262340.5625
18809.8789062 -244881.796875
38722.0703125 -278068.78125
5237.77832031 -296301.0625
32 4
52857.1132812 -191422.765625
88659.3125 -171928.375
107150.914062 -205888.90625
72769.3203125 -224609.796875
33 4
25080.1484375 -206547.40625
59889.2304688 -187593.75
79801.4375 -220780.78125
44992.3632812 -239734.40625
34 4
-2696.80444336 -221672.03125
32112.2675781 -202718.40625
52024.484375 -235905.40625
17215.4101562 -254859.046875
35 4
-30046.2832031 -236563.90625
4335.31298828 -217843.03125
24247.5273438 -251030.046875
-11554.6748047 -270524.4375
